,demand
460,8090.826892645944
461,7321.878242353189
462,7630.652668266955
463,7569.8583770733985
464,7796.5528153722225
465,8391.966423192356
466,8215.248493568297
467,8532.327663140586
468,13276.068997809462
469,23930.632314579016
470,24747.178477286187
471,27374.740605500476
472,32378.895032800483
473,25413.268592338136
474,29019.76214987775
475,31164.206198615215
476,25071.56086475645
477,27760.902505849062
478,22311.400232801156
479,12586.586061943051
480,8700.319985849907
481,7387.627295597479
482,7771.626274552636
483,7565.656982522757
484,7891.538292633104
485,7357.76507096377
486,7887.090935185824
487,8033.703686822145
488,8023.34960947733
489,7932.108585781575
490,8176.529584080717
491,8999.404820727474
492,12788.013188237674
493,23580.473003644354
494,25255.663658843812
495,28491.003992134865
496,32227.182734117818
497,25489.278770195226
498,26729.986533523486
499,29234.543099742816
500,30904.57643675091
501,28447.369962075678
502,21898.408587807324
503,9895.943491373784
504,8077.38032756443
505,8850.204816117364
506,7762.368054323988
507,9318.923605545428
508,9958.315734786747
509,9080.585546462773
510,8923.68800611578
511,9994.373405167886
512,8975.784437908002
513,8039.181522856042
514,7562.171535275477
515,7650.983482380518
516,7416.627168950856
517,7968.050283069418
518,7748.266463846218
519,7708.334384788395
520,7597.102066087549
521,7544.13626409401
522,8201.78214804508
523,8093.235938214266
524,8151.695995029355
525,7314.994071909743
526,7936.303379373562
527,7111.3193178018455
528,8381.24615420297
529,8473.028303300394
530,8317.855106417934
531,7959.296002862965
532,7993.1241719808995
533,7704.086567586279
534,7446.7814575834
535,8112.952321616024
536,8173.479163158245
537,7596.208347143084
538,7213.449302957574
539,7543.203065663188
540,7591.49892615669
541,7479.600046878304
542,7019.320633046245
543,7160.086669865071
544,7750.428021656529
545,8472.045488414555
546,7166.479407460026
547,7798.178337024765
548,7606.411007315972
549,7863.633566658219
550,7762.899244789698
551,8175.037548579555
552,7755.627980143412
553,7469.021724078001
554,7816.081895542405
555,7778.691457852116
556,8067.336163323574
557,7962.529487583684
558,7747.509673226126
559,7668.095122305763
560,7631.643135141775
561,7816.884058438903
562,8214.541472783652
563,9746.709920006506
564,12612.91963099401
565,23325.709751989467
566,25506.034379737735
567,30442.80719032031
568,29160.568891139515
569,25664.55653882013
570,25713.997455201134
571,32398.502118732395
572,28746.277254933997
573,27522.968979495952
574,22265.635724273678
575,10589.083871065255
576,6837.103548472218
577,7908.335956947741
578,7499.467210453626
579,7953.153830647974
580,8336.6240836714
581,7358.633069964324
582,7231.306193132617
583,7402.78596996616
584,7060.594894047933
585,7423.738219425131
586,8169.990256405945
587,8681.670086911943
588,12020.018656430157
589,24041.436180951547
590,26233.470714935076
591,24861.248237502296
592,30616.543748580014
593,24879.900550541453
594,29763.317036420933
595,30525.702331617318
596,29473.041332044464
